event_date,event_performer_name,event_title,event_openers,event_addl_desc,event_type,event_subtype,ticket_cost,venue_name,venue_location_city,venue_location_state
8/4/2002,The Flaming Lips,,"Cake, De la Soul",,concert,Festival,$36.00,Pier 62/63 on Alaskan Way,Seattle,WA
9/27/2002,Dave Chappelle,,Lewis Black,,comedy,Standup,$32.50,Benaroya Hall,Seattle,WA
12/21/2002,Modest Mouse,,,,concert,Alternative,$17.50,The Showbox,Seattle,WA
7/12/2003,Phish,,,,concert,Jam,$43.75,The Gorge Amphitheatre,George,WA
7/13/2003,Phish,,,,concert,Jam,$43.75,The Gorge Amphitheatre,George,WA
7/28/2003,The Mars Volta,,,,concert,Alternative,$13.50,The Showbox,Seattle,WA
8/30/2003,,Burning Man,,,festival,,$225.00,Black Rock City,Gerlach,NV
12/13/2003,Sleater-Kinney/Cat Power,,,,concert,Alternative,$17.50,The Showbox,Seattle,WA
12/21/2003,Supersuckers,,,,concert,Rock,$12.00,Tractor Tavern,Seattle,WA
5/29/2004,Sasquatch! Festival,,,,concert,Festival,$49.50,The Gorge Amphitheatre,George,WA
5/31/2004,Tim Robbins,,,,literary,Book Signing,$0.00,Village Books,Bellingham,WA
7/21/2004,The Aquabats,,,,concert,Ska,$13.00,Graceland,Seattle,WA
8/7/2004,Sky Cries Mary,,,,concert,Alternative,$12.00,Fenix Underground,Seattle,WA
9/10/2004,C Average,Yeah! Fest,,,concert,Festival,$0.00,The Manium,Olympia,WA
9/10/2004,,Yeah! Fest,,,concert,Festival,$50.00,Eagles Hall,Olympia,WA
10/2/2004,Cheap Trick,,,,concert,Rock,$45.00,Emerald Queen Casino,Tacoma,WA
11/12/2004,Blonde Redhead,,,,concert,Alternative,$15.00,The Showbox,Seattle,WA
11/13/2004,SeaCompression 2k4: Tranquility Bass,,,,concert,Dance,$12.00,Segway,Seattle,WA
3/26/2005,Blue Oyster Cult,,,,concert,Rock,$22.50,Emerald Queen Casino,Tacoma,WA
5/21/2005,MC Chris,,,,concert,Hip-hop,$10.00,El Corazon,Seattle,WA
9/3/2005,,Burning Man,,,festival,,$175.00,Black Rock City,Gerlach,NV
10/15/2005,Teatro Zinzanni,,,,theater,,$109.00,Teatro Zinzanni,Seattle,WA
11/4/2005,My Morning Jacket,,,,concert,Alternative,$18.00,The Showbox,Seattle,WA
11/5/2005,Citizen Cope,,,,concert,,$0.00,Showbox SoDo,Seattle,WA
11/11/2005,MC Chris,,,,concert,Hip-hop,$12.50,Neumos,Seattle,WA
11/23/2005,Fiona Apple,,,,concert,Alternative,$40.00,Moore Theatre,Seattle,WA
11/29/2005,Trey Anastasio,,,,concert,Jam,$35.50,Paramount Theatre,Seattle,WA
3/10/2006,Sky Cries Mary,,,,concert,Alternative,$10.00,Neumos,Seattle,WA
4/20/2006,Mates of State,,,,concert,Alternative,$13.00,Neumos,Seattle,WA
9/2/2006,,Bumbershoot,,,concert,Festival,$30.00,Seattle Center,Seattle,WA
9/4/2006,Kanye West,Bumbershoot,,,concert,Hip-hop,$0.01,Memorial Stadium,Seattle,WA
9/18/2006,Suicide Girls,,,,dance,Burlesque,$13.00,Neumos,Seattle,WA
9/20/2006,DJ Shadow,,,,concert,Dance,$30.00,The Showbox,Seattle,WA
10/15/2006,Sufjan Stevens,,,,concert,Alternative,$0.00,Paramount Theatre,Seattle,WA
11/14/2006,Hot Chip,,,,concert,Dance,$12.00,Neumos,Seattle,WA
11/29/2006,Sonics vs. Orlando Magic,,,,sports,Basketball,$0.00,Key Arena,Seattle,WA
12/13/2006,The Nutcracker,,,,dance,Ballet,$0.01,Pacific Northwest Ballet,Seattle,WA
12/21/2006,Dina Martina Christmas Show,,,,comedy,,$20.00,Rebar,Seattle,WA
1/27/2007,Girl Talk,,,,concert,Dance,$8.00,Chop Suey,Seattle,WA
5/2/2007,Kings of Leon,,,,concert,Alternative,$24.50,Moore Theatre,Seattle,WA
5/18/2007,The Heavenly States,,,,concert,Alternative,$10.00,The Crocodile,Seattle,WA
5/26/2007,Sasquatch! Festival,,,,concert,Festival,$50.00,The Gorge Amphitheatre,George,WA
5/27/2007,Sasquatch! Festival,,,,concert,Festival,$50.00,The Gorge Amphitheatre,George,WA
6/29/2007,3 Inches of Blood,,,,concert,Metal,$12.00,El Corazon,Seattle,WA
7/20/2007,Wolves In The Throne Room,,,,concert,Metal,$7.00,Studio 7,Seattle,WA
8/4/2007,Sounders,,,,sports,Soccer,$0.00,Qwest Field,Seattle,WA
8/24/2007,Mickey Avalon,,,,concert,Hip-hop,$15.00,Neumos,Seattle,WA
8/30/2007,Seahawks,,,,sports,Football,$0.01,CenturyLink Field,Seattle,WA
9/12/2007,Mariners,,,,sports,Baseball,$37.00,Safeco Field,Seattle,WA
9/24/2007,Arcade Fire,,LCD Soundsystem,,concert,Alternative,$39.50,Hec Ed Pavilion @ UW,Seattle,WA
9/29/2007,Clap Your Hands Say Yeah,,,,concert,Alternative,$15.00,Neumos,Seattle,WA
10/25/2007,High On Fire,,,,concert,Metal,$16.00,The Crocodile,Seattle,WA
10/29/2007,Caribou,,Born Ruffians,,concert,Alternative,$10.00,Neumos,Seattle,WA
11/20/2007,Band of Horses,,,,concert,Alternative,$16.00,The Showbox,Seattle,WA
12/18/2007,Queens of the Stone Age,,,,concert,Rock,$27.00,Paramount Theatre,Seattle,WA
2/4/2008,3 Inches of Blood,,,,concert,Metal,$15.00,El Corazon,Seattle,WA
2/9/2008,KNDD Presents Lonely Hearts Valentine's Party,,,,concert,Alternative,$0.00,Neumos,Seattle,WA
4/22/2008,The Sword,,,,concert,Metal,$10.00,Neumos,Seattle,WA
5/3/2008,Devotchka,,,,concert,World,$19.00,Showbox SoDo,Seattle,WA
5/15/2008,The Kills,,,,concert,Alternative,$12.00,Neumos,Seattle,WA
6/5/2008,Erykah Badu,,The Roots,,concert,R&B,$38.50,Marymoor Park,Redmond,WA
7/25/2008,Capitol Hill Block Party,,,,concert,Festival,$17.00,,Seattle,WA
7/26/2008,Capitol Hill Block Party,,,,concert,Festival,$17.00,,Seattle,WA
9/6/2008,TV On The Radio,,,,concert,Alternative,$11.50,Showbox SoDo,Seattle,WA
11/12/2008,Digable Planets,,,,concert,Hip-hop,$18.00,Neumos,Seattle,WA
1/7/2009,Rebirth Brass Band,,,,concert,Jazz,$17.00,Tractor Tavern,Seattle,WA
1/12/2009,Tim and Eric Awesome Show Great Job! Tour,,,,comedy,,$25.00,Showbox SoDo,Seattle,WA
4/22/2009,Mastodon,,,,concert,Metal,$20.00,Neumos,Seattle,WA
4/28/2009,Yann Tiersen,,,,concert,Alternative,$15.00,Neumos,Seattle,WA
5/23/2009,Sasquatch! Festival,,,,concert,Festival,$56.50,The Gorge Amphitheatre,George,WA
5/24/2009,Big Business,,,,concert,Metal,$13.00,Neumos,Seattle,WA
5/29/2009,U.S.E. (United States of Electronica),,,,concert,Dance,$18.00,Neumos,Seattle,WA
6/18/2009,The Helio Sequence,,,,concert,Alternative,$0.00,Neumos,Seattle,WA
7/10/2009,Reverend Horton Heat,,,,concert,Rockabilly,$22.00,The Showbox,Seattle,WA
8/5/2009,Phish,,,,concert,Jam,$62.35,Shoreline Amphitheatre,San Francisco,CA
8/7/2009,Phish,,,,concert,Jam,$49.50,The Gorge Amphitheatre,George,WA
8/8/2009,Phish,,,,concert,Jam,$49.50,The Gorge Amphitheatre,George,WA
9/18/2009,Girl Talk,,,,concert,Dance,$15.00,Showbox SoDo,Seattle,WA
12/28/2009,Squirrel Nut Zippers,,,,concert,Jazz,$30.00,The Triple Door,Seattle,WA
4/16/2010,Brian Regan,,,,comedy,Standup,$39.50,Paramount Theatre,Seattle,WA
4/18/2010,Conan O'Brian: The Legally Prohibited from Being Funny on Television Tour,,,,comedy,Variety,$57.50,McCaw Hall,Seattle,WA
5/21/2010,Adam Carolla,,,,comedy,Standup,$35.00,Laugh's Comedy Spot,Kirkland,WA
5/30/2010,Band of Horses,,She & Him,,concert,Alternative,$35.00,Les Schwab Amphitheater,Bend,OR
8/12/2010,Doug Benson: Trifecta Tour,,,,comedy,Standup,$25.00,The Parlor Live,Bellevue,WA
8/21/2010,Lady Gaga,,,,concert,Pop,$85.00,Tacoma Dome,Tacoma,WA
9/22/2010,Hall & Oates,,,,concert,Pop,$30.00,Puyallup Fair,Puyallup,WA
10/17/2010,M.I.A.,,,,concert,Electronic,$29.50,The Showbox,Seattle,WA
10/23/2010,Big Boi,,,,concert,Hip-hop,$29.50,Showbox SoDo,Seattle,WA
11/2/2010,Gorillaz,,,,concert,Electronic,$64.00,Key Arena,Seattle,WA
11/30/2010,Passion Pit,,,,concert,Pop,$27.50,Moore Theatre,Seattle,WA
2/11/2011,David Alan Grier,,,,comedy,Standup,$25.00,The Parlor Live,Bellevue,WA
3/25/2011,Sounders vs. Houston Dynamo,,,,sports,Soccer,$0.01,Qwest Field,Seattle,WA
5/10/2011,Peter Bjorn & John,,,,concert,,$20.00,Neumos,Seattle,WA
5/10/2011,Peter Bjorn & John,,,,concert,Alternative,$20.00,Neumos,Seattle,WA
5/11/2011,Of Montreal,,,,concert,Alternative,$23.50,The Showbox,Seattle,WA
5/19/2011,James Blake,,,,concert,Electronic,$15.00,Tractor Tavern,Seattle,WA
8/5/2011,Phish,,,,concert,Jam,$50.00,The Gorge Amphitheatre,George,WA
8/6/2011,Phish,,,,concert,Jam,$50.00,The Gorge Amphitheatre,George,WA
8/20/2011,Chicago Cubs vs. St Louis Cardinals,,,,sports,Baseball,$15.00,Wrigley Field,Chicago,IL
8/21/2011,Chicago Cubs vs. St Louis Cardinals,,,,sports,Baseball,$27.00,Wrigley Field,Chicago,IL
9/3/2011,,Burning Man,,,festival,,$320.00,Black Rock City,Gerlach,NV
10/23/2011,Portishead,,,,concert,Trip-hop,$48.00,WaMu Theatre,Seattle,WA
10/27/2011,Spank Rock,,,,concert,,$18.00,Neumos,Seattle,WA
10/27/2011,Spank Rock,,,,concert,Hip-hop,$18.00,Neumos,Seattle,WA
10/28/2011,Doug Benson,,,,comedy,Standup,$15.00,Neptune Theatre,Seattle,WA
2/10/2012,Everything Is Terrible: Doggie Woggiez! Poochie Woochie!,,,,comedy,,$0.01,Central Cinema,Seattle,WA
2/20/2012,Die Antwoord,,,,concert,Dance,$20.00,The Showbox,Seattle,WA
4/18/2012,Laff Hole! F. James Adomian,,,,comedy,Standup,$10.00,Chop Suey,Seattle,WA
4/19/2012,Perfume Genius,,,,concert,Alternative,$10.00,The Crocodile,Seattle,WA
4/28/2012,Jon Benjamin Has A Tour,,,,comedy,,$15.00,Barboza,Seattle,WA
4/28/2012,Jon Benjamin Has a Tour,,,,comedy,Variety,$15.00,Neumos,Seattle,WA
5/2/2012,Washed Out,,,,concert,Electronic,$15.00,Neptune Theatre,Seattle,WA
6/2/2012,LMFAO,,,,concert,Electronic,$62.00,Key Arena,Seattle,WA
6/15/2012,3 Inches of Blood,,,,concert,Metal,$15.00,Neumos,Seattle,WA
6/15/2012,Municipal Waste,,"3 Inches of Blood, Black Tusk",,concert,,$15.00,Neumos,Seattle,WA
8/1/2012,Comedy Bang! Bang! Live!,,,,comedy,Standup,$19.00,Neptune Theatre,Seattle,WA
8/30/2012,Yeasayer,,,,concert,Alternative,$29.00,Neptune Theatre,Seattle,WA
9/15/2012,Edward Sharpe & The Magnetic Zeros,,,,concert,Alternative,$35.00,Marymoor Park,Redmond,WA
10/5/2012,Grizzly Bear,,,,concert,Alternative,$29.00,Paramount Theatre,Seattle,WA
11/3/2012,Chelsea Peretti,,,,comedy,Standup,$27.52,Tacoma Comedy Club,Tacoma,WA
12/8/2012,Sufjan Stevens,,,,concert,Alternative,$19.00,Neptune Theatre,Seattle,WA
12/13/2012,Everything Is Terrible: Holiday Tour 2012,,,,comedy,,$0.01,Central Cinema,Seattle,WA
4/12/2013,Jesse Cook,,,,concert,World,$37.00,Moore Theatre,Seattle,WA
4/20/2013,AMA Supercross,,,,sports,Motorcycle,$15.00,CenturyLink Field,Seattle,WA
7/26/2013,Phish,,,,concert,Jam,$50.00,The Gorge Amphitheatre,George,WA
7/27/2013,Phish,,,,concert,Jam,$50.00,The Gorge Amphitheatre,George,WA
9/2/2013,,Bumbershoot,,,concert,Festival,$62.00,Seattle Center,Seattle,WA
9/12/2013,Everything Is Terrible Live!,,,,comedy,,$0.01,Central Cinema,Seattle,WA
9/18/2013,Neko Case,,,,concert,,$33.25,Paramount Theatre,Seattle,WA
10/2/2013,Comedy Bang! Bang! Live!,,,,comedy,Standup,$23.50,Neptune Theatre,Seattle,WA
10/4/2013,Dave Chappelle,,,,comedy,Standup,$55.00,Moore Theatre,Seattle,WA
10/22/2013,SuicideGirls,Blackheart Burlesque,,,theater,,$20.00,El Corazon,Seattle,WA
10/22/2013,Suicide Girls Tour,,,,dance,Burlesque,$20.00,El Corazon,Seattle,WA
11/4/2013,Mazzy Star,,,,concert,Alternative,$33.50,Neptune Theatre,Seattle,WA
12/14/2013,Rufus Wainwright,,,,concert,,$25.00,Moore Theatre,Seattle,WA
1/17/2014,Justin Timberlake,,,,concert,Pop,$45.00,Key Arena,Seattle,WA
3/12/2014,T-Pain,,,,concert,,$30.00,Neumos,Seattle,WA
3/12/2014,T-Pain,,,,concert,Hip-hop,$30.00,Neumos,Seattle,WA
4/26/2014,Zach Deputy,,Tubaluba,,concert,,$10.00,Nectar Lounge,Seattle,WA
5/2/2014,C Average,,"Lord Dying, Vanguard, Android Hero",,concert,,$30.90,Highline,Seattle,WA
5/2/2014,C Average,,,,concert,Metal,$13.00,Highline,Seattle,WA
5/10/2014,Childish Gambino,,,,concert,Hip-hop,$31.25,Paramount Theatre,Seattle,WA
5/14/2014,Mariners vs. Tampa Bay Rays,,,,sports,Baseball,$7.00,Safeco Field,Seattle,WA
6/10/2014,Jungle,,,,concert,,$15.00,Neumos,Seattle,WA
6/10/2014,Jungle,,,,concert,Dance,$15.00,Neumos,Seattle,WA
6/26/2014,Robyn + Royksopp,,,,concert,,$39.50,Marymoor Park,Redmond,WA
6/26/2014,Robyn + Royksopp,,,,concert,Dance,$39.50,Marymoor Park,Redmond,WA
7/9/2014,The Antlers,,,,concert,,$18.00,Neumos,Seattle,WA
7/9/2014,The Antlers,,,,concert,Alternative,$18.00,Neumos,Seattle,WA
8/22/2014,Seahawks,,,,sports,Football,$55.00,CenturyLink Field,Seattle,WA
10/18/2014,Phish,,,,concert,Jam,$60.00,Key Arena,Seattle,WA
11/19/2014,Death From Above 1979,,,,concert,,$28.50,Neumos,Seattle,WA
12/12/2014,Critters Buggin,,Master Musicians of Bukkake,,concert,,$15.00,Nectar Lounge,Seattle,WA
5/8/2015,Griz,,,,concert,,$25.00,Showbox SoDo,Seattle,WA
5/8/2015,Seattle Mariners vs. Oakland Athletics,,,,sports,Baseball,$30.00,Safeco Field,Seattle,WA
9/23/2015,Turquoise Jeep,Revenge of the Naughty Farmer,,,concert,,$15.00,Tractor Tavern,Seattle,WA
10/24/2015,Sky Cries Mary,,,,concert,,$21.00,Neumos,Seattle,WA
2/25/2016,Michael Che,,,,comedy,,$20.00,Columbia City Theater,Seattle,WA
3/3/2016,Shabazz Palaces,,,,concert,,$10.00,Tractor Tavern,Seattle,WA
4/22/2016,Black Mountain,,,,concert,,$18.00,Tractor Tavern,Seattle,WA
4/22/2016,Black Mountain,,,,concert,Alternative,$18.00,Tractor Tavern,Seattle,WA
6/8/2016,At The Drive-In,,,,concert,,$39.50,Showbox SoDo,Seattle,WA
7/27/2016,Weird Al Yankovic,,,,concert,,$35.00,Woodland Park Zoo,Seattle,WA
9/29/2016,Sia,Nostalgic For The Present Tour,,,concert,,$135.00,Key Arena,Seattle,WA
10/17/2016,Purity Ring,,,,concert,,$27.75,Showbox SoDo,Seattle,WA
11/30/2016,The Dwarves,,,,concert,,$14.00,Highline,Seattle,WA
3/16/2017,Big Business,,Helms Alee,,concert,,$33.78,The Crocodile,Seattle,WA
3/21/2017,Xenia Rubinos,,,,concert,,$10.00,Barboza,Seattle,WA
3/31/2017,Dina Martina,Fine Avec Me,,,comedy,,$22.00,Rebar,Seattle,WA
4/8/2017,Radiohead,,,,concert,,$105.00,Key Arena,Seattle,WA
4/28/2017,Vaudeville Etiquette,,"Bart Budwig, Marshall Mclean Band",,concert,,$10.00,Sunset Tavern,Seattle,WA
4/30/2017,Reverend Horton Heat,"""The Real Deal"" Backyard BBQ Starring Texas Legends",Dale Watson,,concert,,$65.00,Slim's Last Chance Saloon,Seattle,WA
5/6/2017,Point Break Live!,,,,comedy,,$40.00,The Showbox,Seattle,WA
6/9/2017,Supersuckers,,,,concert,,$15.00,Tractor Tavern,Seattle,WA
8/8/2017,Bomba Estereo,,,,concert,,$27.50,The Showbox,Seattle,WA
9/5/2017,Nathan For You - Sneak Peak And Q&A,,,,comedy,,$95.00,Neptune Theatre,Seattle,WA
9/8/2017,Reverend Horton Heat,,,,concert,,$25.00,The Showbox,Seattle,WA
10/4/2017,The Maldives,,,,concert,,$0.00,Nectar Lounge,Seattle,WA
10/6/2017,Vaudeville Etiquette,,"Cedar Teeth, Stucky Jackson and the Boys",,concert,,$12.00,Sunset Tavern,Seattle,WA
10/7/2017,The Moondoggies,,"LAKE, Corespondents",,concert,,$30.25,Tractor Tavern,Seattle,WA
10/9/2017,Colter Wall,,Ian Noe,,concert,,$26.25,Tractor Tavern,Seattle,WA
11/12/2017,Dwarves,,"The Accused AD, Acid Teeth, Raw Dogs",,concert,,$13.00,Funhouse,Seattle,WA
11/14/2017,Salon of Shame #79,,,,comedy,,$15.00,Theatre Off Jackson,Seattle,WA
11/24/2017,Seattle's Tribute To The Last Waltz,,,,concert,,$25.00,Neptune Theatre,Seattle,WA
12/1/2017,Dina Martina,Christmas Show 2017,,,comedy,,$25.00,Rebar,Seattle,WA
12/7/2017,Dan Rather,,,,literary,Book Signing,$23.00,University Book Store,Seattle,WA
12/13/2017,John Mulaney,Kid Gorgeous,,,comedy,,$40.00,Paramount Theatre,Seattle,WA
12/15/2017,Scott Bradlee's Postmodern Jukebox,,,,concert,,$110.00,Paramount Theatre,Seattle,WA
1/28/2018,Bon Iver,,,,concert,,$85.00,Pepsi Center WTC,México,DF
4/21/2018,Wyclef Jean,,,,concert,,$34.00,The Showbox,Seattle,WA
4/23/2018,Twin Shadow,,,,concert,,$25.00,The Crocodile,Seattle,WA
4/26/2018,Lapalux,,"FKL, Raica",,concert,,$15.00,The Crocodile,Seattle,WA
5/7/2018,Born Ruffians,,,,concert,,$15.00,Barboza,Seattle,WA
5/31/2018,Puddles Pity Party,,,,comedy,,$35.00,The Showbox,Seattle,WA
6/3/2018,Godspeed You! Black Emperor,,,,concert,,$30.00,Neptune Theatre,Seattle,WA
7/11/2018,Sparta,,,,concert,,$16.00,The Crocodile,Seattle,WA
8/10/2018,Pearl Jam,,,,concert,,$120.00,Safeco Field,Seattle,WA
12/9/2018,Indianapolis Colts at Houston Texans,,,,sports,Football,$81.07,NRG Stadium,Houston,TX
1/5/2019,Seattle Seahawks at Dallas Cowboys,,,,sports,Football,$93.00,AT&T Stadium,Arlington,TX
1/12/2019,The Murder City Devils,,,,concert,,$27.65,Mohawk,Austin,TX
1/23/2019,Built To Spill,,XETAS,,concert,,$30.39,Antone's,Austin,TX
1/30/2019,High On Fire,,"Toke, Year of the Cobra",,concert,,$24.25,Barracuda,Austin,TX
1/31/2019,Waterbed Comedy Party 2019,,,,comedy,,$5.00,Spider House Ballroom,Austin,TX
2/2/2019,DeVotchKa,,Neyla Pekarek,,concert,,$23.00,Scoot Inn,Austin,TX
2/7/2019,Dina Martina,Creme de la Dregs,,,comedy,,$20.00,The North Door,Austin,TX
3/1/2019,Supersuckers,30th Anniversary The Big Show Tour,,,concert,,$15.00,The Parish,Austin,TX
3/20/2019,Pentagram,,,,concert,,$29.01,Come and Take It Live,Austin,TX
3/22/2019,Puddles Pity Party,,,,concert,,$45.00,Paramount Theatre,Austin,TX
4/3/2019,PROF,,,,concert,,$13.00,Antone's Nightclub,Austin,TX
4/12/2019,The Handbuilt Motorcycle Show 2019,,,,festival,,$18.00,Revival Cycles,Austin,TX
4/14/2019,MotoGP Red Bull Grand Prix of The Americas,,,,sports,Racing,$94.44,Circuit of The Americas,Austin,TX
4/24/2019,Moontower Comedy Festival 2019,,,,comedy,,$99.00,The Paramount & Stateside Theatres,Austin,TX
5/7/2019,Dave Chappelle,,,,comedy,,$103.50,The Townsend,Austin,TX
6/27/2019,Theo Von,,,,comedy,,$33.00,Paramount Theatre,Austin,TX
7/12/2019,Amyl and the Sniffers,,,,concert,,$20.44,Barracuda,Austin,TX
8/21/2019,Turquoise Jeep,Flynt Flossy,,,concert,,$18.97,Hotel Vegas,Austin,TX
10/26/2019,Oh Sees,,"Prettiest Eyes, Nolan Potter's Nightmare Band",,concert,,$25.00,Hotel Vegas,Austin,TX
11/7/2019,High On Fire,,Power Trip,,concert,,$36.63,Mohawk - Outdoor,Austin,TX
11/8/2019,The Flaming Lips,,"Mercury Rev, Holy Wave",,concert,,$59.00,Stubb's,Austin,TX
11/25/2019,George Strait,,,,concert,,$225.00,The Moody Theater,Austin,TX
11/30/2019,The Best of The Store,,,,comedy,,$24.00,The Comedy Store,Hollywood,CA
1/23/2020,Supersuckers,"20th Anniversary of ""Evil Powers""",,,concert,,$17.50,Empire Control Room & Garage,Austin,TX
2/7/2020,High & Mighty Podcast Live,,,,comedy,,$18.85,The North Door,Austin,TX
2/8/2020,ActionBoyz,ActionBoyz Podcast Live,,,comedy,,$18.85,Sons of Hermann Hall,Dallas,TX
4/30/2021,JFL Showcase,,,,comedy,,$20.00,Stateside at the Paramount,Austin,TX
6/19/2021,High On Fire,,"Duel, Greenbeard",,concert,,$30.00,The Austin Motocross Park,Del Valle,TX
7/11/2021,The Avett Brothers,,,,concert,,$113.00,Red Rocks Amphitheatre,Morrison,CO
8/14/2021,Summer Sesh III,,,,festival,,$0.00,Independence Brewing Co.,Austin,TX
8/29/2021,Phish,,,,concert,,$75.00,The Gorge Amphitheatre,George,WA
9/26/2021,Moontower Comedy Festival 2021,,,,comedy,,$99.00,Paramount Theatre,Austin,TX
10/2/2021,OSEES,,Mr. Elevator,,concert,,$30.00,Hotel Vegas,Austin,TX
10/8/2021,Natalie Cuomo,,,,comedy,,$17.85,Fallout Theater,Austin,TX
10/23/2021,Mt. Joy,,,,concert,,$0.00,The Moody Theater,Austin,TX
10/27/2021,The Sword,,"Starcrawler, Here Lies Man, Enumclaw",,concert,,$30.00,Empire Control Room & Garage,Austin,TX
12/4/2021,George Strait,,,,concert,,$206.00,T-Mobile Arena,Las Vegas,NV
12/12/2021,Seattle Seahawks at Houston Texans,,,,sports,Football,$110.42,NRG Stadium,Houston,TX
12/28/2021,Billy Gibbs,The Jungle Show,"Jimmie Vaughn, Sue Foley",,concert,,$83.00,Antone's,Austin,TX
1/9/2022,Seattle Seahawks at Arizona Cardinals,,,,sports,Football,$130.00,State Farm Stadium,Glendale,AZ
4/15/2022,Terminator: The Musical,,,,theater,,$30.00,York Rite of Austin,Austin,TX
4/24/2022,Moontower Comedy Festival 2022,,,,comedy,,$99.00,The Paramount & Stateside Theatres,Austin,TX
7/24/2022,New York Red Bulls at Austin FC,,,,sports,Soccer,$0.00,Q2 Stadium,Austin,TX
8/6/2022,Comedy Bang! Bang! LIVE,,,,comedy,,$109.75,Paramount Theatre,Austin,TX
9/18/2022,The Sword,,,,concert,,$48.00,The White Horse,Austin,TX
10/6/2022,Roger Waters,This Is Not a Drill,,,concert,,$230.00,Moody Center,Austin,TX
11/20/2022,No Age,,"John Wiese, Chalk",,concert,,$15.00,Antone's Nightclub,Austin,TX
12/5/2022,Modest Mouse,The Lonesome Crowded West Tour,,,concert,,$50.00,The Moody Theater,Austin,TX
4/22/2023,Ben Schwartz & Friends,,,,comedy,,$74.50,Paramount Theatre,Austin,TX
4/23/2023,Monster Jam,,,,sports,Monster Truck,$50.00,Moody Center,Austin,TX
